issue_key,project,rule,severity,component,line,message,type,tags,effort
b54ce300-7e48-40cf-85ec-996a7c99fde2,Wildlife-Tracker-replit-1,typescript:S6819,MAJOR,Wildlife-Tracker-replit-1:artifacts/wildlife-track/src/components/ui/breadcrumb.tsx,95,"Use <img alt=...> instead of the ""presentation"" role to ensure accessibility across all devices.",CODE_SMELL,accessibility;react,5min
a7120a4b-a4cf-48d1-b8d3-fb0204853c0c,Wildlife-Tracker-replit-1,typescript:S6819,MAJOR,Wildlife-Tracker-replit-1:artifacts/wildlife-track/src/components/ui/button-group.tsx,30,"Use <details>, <fieldset>, <optgroup>, or <address> instead of the ""group"" role to ensure accessibility across all devices.",CODE_SMELL,accessibility;react,5min
6166c2d5-896c-4a63-ab31-2c180e23d1be,Wildlife-Tracker-replit-1,typescript:S6478,MAJOR,Wildlife-Tracker-replit-1:artifacts/wildlife-track/src/components/ui/calendar.tsx,128,Move this component definition out of the parent component and pass data as props.,CODE_SMELL,performance;react;jsx,5min
9e512892-3c0a-4173-a0d8-6da1bb0caf3d,Wildlife-Tracker-replit-1,typescript:S6478,MAJOR,Wildlife-Tracker-replit-1:artifacts/wildlife-track/src/components/ui/calendar.tsx,138,Move this component definition out of the parent component and pass data as props.,CODE_SMELL,performance;react;jsx,5min
61d590cc-2e94-48db-9210-c8b1976c4d5b,Wildlife-Tracker-replit-1,typescript:S6478,MAJOR,Wildlife-Tracker-replit-1:artifacts/wildlife-track/src/components/ui/calendar.tsx,159,Move this component definition out of the parent component and pass data as props.,CODE_SMELL,performance;react;jsx,5min
1a71726a-0465-4963-96d7-67e5d3684cdf,Wildlife-Tracker-replit-1,typescript:S6481,MAJOR,Wildlife-Tracker-replit-1:artifacts/wildlife-track/src/components/ui/carousel.tsx,123,The object passed as the value prop to the Context provider changes every render. To fix this consider wrapping it in a useMemo hook.,CODE_SMELL,performance;react;jsx,5min
4ad4ddc8-5246-4da2-9891-82f657d31751,Wildlife-Tracker-replit-1,typescript:S6819,MAJOR,Wildlife-Tracker-replit-1:artifacts/wildlife-track/src/components/ui/carousel.tsx,135,"Use <section aria-label=...>, or <section aria-labelledby=...> instead of the ""region"" role to ensure accessibility across all devices.",CODE_SMELL,accessibility;react,5min
868d03f2-27a5-44aa-be1b-caa3fd0b5e36,Wildlife-Tracker-replit-1,typescript:S6819,MAJOR,Wildlife-Tracker-replit-1:artifacts/wildlife-track/src/components/ui/carousel.tsx,180,"Use <details>, <fieldset>, <optgroup>, or <address> instead of the ""group"" role to ensure accessibility across all devices.",CODE_SMELL,accessibility;react,5min
f7e5e170-44c3-4119-a83a-e1f1f1ae9044,Wildlife-Tracker-replit-1,typescript:S7781,MINOR,Wildlife-Tracker-replit-1:artifacts/wildlife-track/src/components/ui/chart.tsx,45,Prefer `String#replaceAll()` over `String#replace()`.,CODE_SMELL,readability;es2021,5min
5e145ed7-c955-49b0-a022-fbfec34b4a9c,Wildlife-Tracker-replit-1,typescript:S6481,MAJOR,Wildlife-Tracker-replit-1:artifacts/wildlife-track/src/components/ui/chart.tsx,48,The object passed as the value prop to the Context provider changes every render. To fix this consider wrapping it in a useMemo hook.,CODE_SMELL,performance;react;jsx,5min
944ff7c0-1da3-4d49-8462-c13404faeb26,Wildlife-Tracker-replit-1,typescript:S7735,MINOR,Wildlife-Tracker-replit-1:artifacts/wildlife-track/src/components/ui/chart.tsx,184,Unexpected negated condition.,CODE_SMELL,readability,2min
948b8467-f422-4ee1-8037-565e1ea6d034,Wildlife-Tracker-replit-1,typescript:S4325,MINOR,Wildlife-Tracker-replit-1:artifacts/wildlife-track/src/components/ui/chart.tsx,357,This assertion is unnecessary since it does not change the type of the expression.,CODE_SMELL,type-dependent;redundant,1min
05cf6f60-7700-4484-a99e-78163e933ccd,Wildlife-Tracker-replit-1,typescript:S6747,MAJOR,Wildlife-Tracker-replit-1:artifacts/wildlife-track/src/components/ui/command.tsx,42,Unknown property 'cmdk-input-wrapper' found,CODE_SMELL,react,5min
